Word,Reading,Meaning (JP / EN / CN),Example Sentence
くたびれる,Kutabireru,"(JP) 疲れる、古くなって痛む (EN) To get tired, To wear out (CN) 疲劳，穿旧",一日中歩いてくたびれた。
ばてる,Bateru,"(JP) 疲れ果てて動けなくなる (EN) To be exhausted (CN) 精疲力竭",夏の暑さでばててしまった。
どもる（スピーチ）,Domoru,"(JP) 言葉が円滑に出ない (EN) To stutter (CN) 口吃，结巴",緊張してスピーチでどもった。
しくじる,Shikujiru,"(JP) 失敗する (EN) To fail, To mess up (CN) 把...搞砸，失败",入試でしくじった。
こみあげる,Komiageru,"(JP) 感情などが湧き上がってくる (EN) To well up (CN) 涌上（心头）",怒りがこみあげてきた。
うぬぼれる,Unuboreru,"(JP) 自分が優れていると思い込む (EN) To be conceited (CN) 自负，自大",自分の才能にうぬぼれるな。
ぼうぜんとする,Bouzen to suru,"(JP) 驚いて何もしないでいる (EN) To be dumbfounded (CN) 发呆，目瞪口呆",事故の知らせを聞いてぼうぜんとした。
赤らめる,Akarameru,"(JP) 顔を赤くする (EN) To redden, To blush (CN) 脸红，弄红",彼女は頬を赤らめてうつむいた。
凝る（釣り）,Koru,"(JP) 熱中する (EN) To be absorbed in (CN) 热衷，沉迷",最近、釣りに凝っている。
懲りる,Koriru,"(JP) 失敗してもうしたくないと思う (EN) To learn a lesson (CN) 受到教训",失敗しても彼は全然懲りない。
戸惑う,Tomadou,"(JP) どうしていいか迷う (EN) To be perplexed (CN) 困惑，不知所措",突然の質問に戸惑った。
嘆く,Nageku,"(JP) 悲しむ、憂える (EN) To lament (CN) 叹息，感叹",彼は世の中の不正を嘆いた。
ぼやく,Boyaku,"(JP) 不平や愚痴を言う (EN) To grumble (CN) 发牢骚，嘟囔",給料が安いとぼやく。
まごつく,Magotsuku,"(JP) 方法が分からず迷う (EN) To be confused (CN) 手忙脚乱",機械の操作にまごつく。
和む（心）,Nagomu,"(JP) 気持ちが落ち着く (EN) To be softened (CN) 平静，温和",彼の笑顔を見ると心が和む。
こもる（家）,Komoru,"(JP) 中に入って出ない (EN) To seclude oneself (CN) 闭门不出",休日は家にこもっている。
さえる（目・頭）,Saeru,"(JP) 感覚が鋭くなる (EN) To be clear, To be alert (CN) 清醒，灵敏",今日は頭がさえている。
意気込み,Ikigomi,"(JP) 何かをしようとする強い気持ち (EN) Enthusiasm (CN) 干劲，热情",彼の仕事に対する意気込みはすごい。
老ける,Fukeru,"(JP) 年を取った様子になる (EN) To age (CN) 老，上年纪",彼は苦労してすっかり老けた。
