Word,Reading,Meaning (JP / EN / CN),Example Sentence
手口,Teguchi,"(JP) 犯罪などの手法 (EN) Modus operandi (CN) 手法，作案手段",巧妙な手口で金をだまし取る。
手近な,Tejika na,"(JP) すぐ手の届く範囲 (EN) Handy, Familiar (CN) 手边，身边",手近な材料で料理を作る。
手ごろな（値段）,Tegoro na,"(JP) 値段などがちょうどよい (EN) Reasonable (CN) (价格) 适中",手ごろな値段の服を探す。
手引き,Tebiki,"(JP) 案内すること、指導 (EN) Guidance (CN) 引路，辅导",先生の手引きで研究を進める。
手引き,Tebiki,"(JP) 実用的な解説書 (EN) Manual, Handbook (CN) 指南，入门书",パソコンの利用手引きを読む。
手分け,Tewake,"(JP) 作業を分担して行う (EN) Division of labor (CN) 分工，分头",みんなで手分けして探そう。
お手上げ,Oteage,"(JP) どうしようもない (EN) Giving up, Helpless (CN) 束手无策，没辙",借金が増えてもうお手上げだ。
手中,Shuchuu,"(JP) 自分の支配下 (EN) In one's hands (CN) 手中，掌握",勝利を手中に収める。
手はず,Tehazu,"(JP) 準備、段取り (EN) Arrangements (CN) 步骤，准备程序",引越しの手はずを整える。
下心,Shitagokoro,"(JP) 隠れた企み (EN) Ulterior motive (CN) 居心，企图",彼の親切には下心があるようだ。
内心,Naishin,"(JP) 口に出さない心の中 (EN) Inner thoughts (CN) 内心，心中",平気な顔をしていたが、内心は焦っていた。
心中（察する）,Shinjuu,"(JP) 心の中、お気持ち (EN) Inner feelings (CN) 心中，心情",ご心中お察しします。
心中（図る）,Shinjuu,"(JP) 一緒に自殺する (EN) Double suicide (CN) 殉情",無理心中を図る。
心遣い,Kokorozukai,"(JP) 相手を思う気持ち (EN) Consideration (CN) 关怀，体贴",温かいお心遣いに感謝します。
