Word,Reading,Meaning (JP / EN / CN),Example Sentence
なだめる,Nadameru,"(JP) 興奮している人を落ち着かせる (EN) To soothe (CN) 安慰",泣いている子供をなだめる。
いたわる,Itawaru,"(JP) 優しく接する (EN) To care for (CN) 照顾",老人をいたわる。
しつける,Shitsukeru,"(JP) マナーや礼儀を教える (EN) To discipline, To train (CN) 管教",子供を厳しくしつける。
ちやほやする,Chiyahoya suru,"(JP) 甘やかして機嫌をとる (EN) To pamper (CN) 溺爱，奉承",彼女はみんなにちやほやされている。
おだてる,Odateru,"(JP) 相手を褒めていい気にさせる (EN) To flatter (CN) 奉承，拍马屁",豚もおだてりゃ木に登る。
あざ笑う,Azawarau,"(JP) 馬鹿にして笑う (EN) To sneer at (CN) 嘲笑，讥笑",人の失敗をあざ笑うな。
ねたむ,Netamu,"(JP) うらやましく思って憎む (EN) To be jealous (CN) 嫉妒",同僚の昇進をねたむ。
さらう,Sarau,"(JP) 持ち去る、誘拐する (EN) To kidnap, To snatch (CN) 拐走，抢走",子供がさらわれる事件が起きた。
もてなす,Motenasu,"(JP) 客をごちそうなどで待遇する (EN) To entertain (CN) 款待，招待",手料理で客をもてなす。
冷やかす,Hiyakasu,"(JP) からかう、買う気がないのに見る (EN) To tease / To window-shop (CN) 嘲弄 / 只问不买",新婚カップルを冷やかす。
けなす,Kenasu,"(JP) 悪く言う、批判する (EN) To disparage (CN) 贬低，毁谤",他人の作品をけなす。
ののしる,Nonoshiru,"(JP) 大声で悪口を言う (EN) To abuse verbally (CN) 谩骂",汚い言葉でののしる。
なじる,Najiru,"(JP) 問い詰めて責める (EN) To rebuke (CN) 责问，责备",彼の不誠実さをなじる。
とがめる,Togameru,"(JP) 悪い点を取り上げて責める (EN) To blame (CN) 责难，内疚",良心がとがめる。
ねだる（小遣い）,Nedaru,"(JP) 甘えて欲しがる (EN) To beg for (CN) 死乞白赖地要",父に小遣いをねだる。
見せびらかす,Misebirakasu,"(JP) 自慢して見せる (EN) To show off (CN) 炫耀，卖弄",新しい時計を見せびらかす。
なつく,Natsuku,"(JP) 慣れて親しむ (EN) To become attached to (CN) 亲近，驯服",野良猫が私になついた。
出くわす,Dekuwasu,"(JP) 偶然出会う (EN) To run into (CN) 偶遇，碰见",街で旧友に出くわした。
言いつける,Iitsukeru,"(JP) 命令する、告げ口する (EN) To order / To tell on (CN) 吩咐 / 告发",先生に言いつけるよ。
告げ口,Tsugeguchi,"(JP) 他人の秘密をこっそり告げる (EN) Tattling, Snitching (CN) 告密，打小报告",彼はすぐに告げ口をする。
もめる,Momeru,"(JP) 争いが起きる (EN) To quarrel (CN) 发生纠纷",遺産相続でもめる。
養う（家族）,Yashinau,"(JP) 生活の面倒を見る (EN) To support (a family) (CN) 养活，抚养",彼は大家族を養っている。
へりくだった,Herikudatta,"(JP) 相手を敬って自分を低くする (EN) Humble (CN) 谦逊",へりくだった態度で接する。
こじれる,Kojireru,"(JP) 関係や交渉が悪化する (EN) To get complicated (CN) 变复杂，恶化",二人の関係がこじれた。
こじらせる,Kojiraseru,"(JP) 病気や問題を悪くする (EN) To aggravate (CN) 使恶化，弄糟",風邪をこじらせて肺炎になった。
こじれる（話）,Kojireru,"(JP) 話がまとまらなくなる (EN) To get complicated (talks) (CN) (谈话) 僵持",話がこじれて解決しない。
