Word,Reading,Meaning (JP / EN / CN),Example Sentence
愛想がいい,Aiso ga ii,"(JP) 人当たりがいい (EN) Cheerful, Friendly (CN) 和蔼可亲",彼女は誰に対しても愛想がいい。
まめな,Mamena,"(JP) 誠実でよく働く (EN) Diligent, Faithful (CN) 勤勉",彼は筆まめな人だ。
生真面目な,Kimajimena,"(JP) 非常に真面目 (EN) Earnest, Serious (CN) 一本正经",彼は生真面目すぎて冗談が通じない。
情け深い,Nasakebukai,"(JP) 思いやりが深い (EN) Compassionate (CN) 仁慈",彼は情け深い人として知られている。
りりしい,Ririshii,"(JP) 引き締まって力強い (EN) Dignified, Gallant (CN) 威严",彼女のりりしい姿に感動した。
気立てがいい,Kidate ga ii,"(JP) 性質が素直で優しい (EN) Good-natured (CN) 性情温和",彼女は気立てがよく、皆に好かれている。
たくましい,Takumashii,"(JP) 体が頑丈、意志が強い (EN) Robust, Strong (CN) 健壮",彼はたくましい腕をしている。
思いやる,Omoiyaru,"(JP) 相手の立場を考える (EN) To be considerate (CN) 体谅",他人を思いやる気持ちが大切だ。
気品がある,Kihin ga aru,"(JP) 上品な趣がある (EN) Elegant, Graceful (CN) 有气派",その女性には気品がある。
色気がある,Iroke ga aru,"(JP) 性的魅力がある (EN) Sexy, Charming (CN) 有魅力",彼女はとても色気がある。
しとやかな,Shitoyakana,"(JP) 上品で落ち着いている (EN) Graceful, Refined (CN) 端庄",彼女はしとやかな振る舞いをする。
気まぐれな,Kimagurena,"(JP) 気分が変わりやすい (EN) Whimsical, Fickle (CN) 任性",彼は気まぐれな性格だ。
近寄りがたい,Chikayorigatai,"(JP) 親しくなりにくい (EN) Hard to approach (CN) 难以接近",社長は少し近寄りがたい雰囲気がある。
大柄な,Oogara na,"(JP) 体格が大きい (EN) Large build (CN) 大块头",彼は大柄な男性だ。
小柄な,Kogara na,"(JP) 体格が小さい (EN) Small build, Petite (CN) 小个子",彼女は小柄だが力持ちだ。
活発な,Kappatsu na,"(JP) 元気がよく活動的 (EN) Active, Lively (CN) 活泼",クラスで活発な議論が行われた。
温和な,Onwa na,"(JP) 性質が穏やか (EN) Mild, Gentle (CN) 温和",彼は温和な表情を浮かべた。
気さくな,Kisaku na,"(JP) 親しみやすい (EN) Friendly, Open (CN) 爽朗",彼は気さくに話しかけてくれた。
おおらかな,Ooraka na,"(JP) 心が広い (EN) Magnanimous, Easygoing (CN) 豁达",彼はおおらかな性格で、細かいことは気にしない。
素朴な,Soboku na,"(JP) 飾り気がない (EN) Simple, Rustic (CN) 朴素",彼の素朴な疑問に答えた。
デリケートな,Derike-to na,"(JP) 繊細な、傷つきやすい (EN) Delicate, Sensitive (CN) 纤细",彼はデリケートな神経の持ち主だ。
物好きな,Monozuki na,"(JP) 変わったものを好む (EN) Curious, Eccentric (CN) 好奇",こんな雨の中を出かけるなんて物好きな人だ。
なれなれしい,Narenareshii,"(JP) 失礼なほど親しげ (EN) Over-familiar (CN) 熟不拘礼",初対面でなれなれしい態度をとるな。
いやらしい,Iyarashii,"(JP) 不快な、好色な (EN) Indecent, Lecherous (CN) 下流",彼はいやらしい目つきで彼女を見た。
卑しい,Iyashii,"(JP) 品がない、欲深い (EN) Greedy, Vulgar (CN) 卑鄙",お金に卑しい人は嫌われる。
しぶとい,Shibutoi,"(JP) 粘り強い (EN) Stubborn, Tenacious (CN) 顽强",犯人はしぶとく逃げ回った。
荒っぽい,Arappoi,"(JP) 乱暴である (EN) Rough, Violent (CN) 粗暴",彼の運転は荒っぽい。
おせっかいな,Osekkai na,"(JP) 余計な世話を焼く (EN) Meddlesome, Nosy (CN) 多管闲事",近所におせっかいな人がいる。
おっちょこちょいな,Occhokochoi na,"(JP) 落ち着きがない (EN) Careless, Scatterbrained (CN) 冒失",私はおっちょこちょいで、よく忘れ物をする。
でしゃばりな,Deshabari na,"(JP) 余計な口出しをする (EN) Intrusive, Pushy (CN) 爱出风头",彼女はでしゃばりな性格だ。
きざな,Kiza na,"(JP) 気取っている (EN) Affectedly, Snobbish (CN) 装模作样",彼のきざな話し方は鼻につく。
ルーズな,Ru-zu na,"(JP) だらしない、締まりがない (EN) Loose, Sloppy (CN) 散漫",彼は時間にルーズだ。
