Word,Reading,Meaning (JP / EN / CN),Example Sentence
じっくり,Jikkuri,"(JP) 時間をかけて丁寧に行う (EN) Carefully (CN) 仔细，慢慢",問題をじっくり考える。
じっとり,Jittori,"(JP) 不快な湿り気がある (EN) Damp, Clammy (CN) 湿漉漉",じっとりと汗をかいた。
しっとり,Shittori,"(JP) 適度な湿り気がある (EN) Moist (CN) 湿润",スポンジがしっとり焼き上がった。
しっとり,Shittori,"(JP) 静かで落ち着いている (EN) Calm, Refined (CN) 沉静，娴静",彼女はしっとりとした着物姿だった。
あっさり,Assari,"(JP) 味や性格がしつこくない (EN) Light, Plain (CN) 清淡，干脆",今日の夕食はあっさりしたものがいい。
あっさり,Assari,"(JP) 簡単に、手際よく (EN) Easily, Readily (CN) 轻易",優勝候補にあっさり負けた。
さっぱり,Sappari,"(JP) 清潔で気持ちがいい (EN) Refreshing, Clean (CN) 清爽，整洁",シャワーを浴びてさっぱりした。
さっぱり,Sappari,"(JP) 全く（～ない） (EN) Not at all (CN) 完全 (不)",彼の言いたいことがさっぱりわからない。
がっしり,Gasshiri,"(JP) 体格や構造が丈夫でたくましい (EN) Sturdy (CN) 健壮，结实",彼はスポーツマンでがっしりした体つきだ。
がっちり,Gacchiri,"(JP) 隙がなく丈夫なさま (EN) Solid, Firm (CN) 牢固，紧紧",がっちりとした建物を造る。
がっちり,Gacchiri,"(JP) 金銭に抜け目がない (EN) Shrewd, Frugal (CN) 精明",彼はがっちりお金を貯めている。
がっくり,Gakkuri,"(JP) 急に力が抜ける、失望する (EN) Heartbroken (CN) 颓丧，灰心",試験に落ちてがっくりした。
きっかり,Kikkari,"(JP) 数量や時間が正確なさま (EN) Exactly, Sharp (CN) 正好，整",3時きっかりに会いましょう。
ぐったり,Guttari,"(JP) 疲れて力が抜けたさま (EN) Limp, Exhausted (CN) 筋疲力尽，瘫软",暑さでぐったり横になる。
くっきり,Kukkiri,"(JP) 輪郭が鮮やかではっきりしている (EN) Distinctly (CN) 鲜明，清楚",晴れて富士山がくっきり見える。
ぐっしょり/びっしょり,Gusshori/Bisshori,"(JP) ひどく濡れているさま (EN) Soaking wet (CN) 湿透",雨で服がびっしょり濡れた。
げっそり,Gessori,"(JP) 急に痩せてやつれる (EN) Gaunt, Haggard (CN) 骤瘦，憔悴",病気で頬がげっそりこけた。
てっきり,Tekkiri,"(JP) 誤って確信する (EN) Surely (thought incorrectly) (CN) 一定，以为",てっきり君がやったのだと思っていた。
まるっきり,Marukkiri,"(JP) 完全に、全く（～ない） (EN) Completely, Wholly (CN) 完全，全然",その噂はまるっきり嘘だ。
うんざり,Unzari,"(JP) 飽きて嫌になる (EN) Fed up, Sick of (CN) 厌烦，腻",彼の自慢話にはうんざりだ。
すんなり,Sunnari,"(JP) 細くて伸びている (EN) Slender, Slim (CN) 苗条，纤细",モデルのようなすんなりした手足。
すんなり,Sunnari,"(JP) 抵抗なくスムーズに (EN) Smoothly (CN) 顺利，轻易",提案はすんなり受け入れられた。
さっと,Satto,"(JP) 動作が素早いさま (EN) Quickly (CN) 迅速，一下子",汚れをさっと拭き取る。
はっと,Hatto,"(JP) 急に気づく、驚く (EN) Startled (CN) 猛然，吃惊",忘れ物に気づいてはっとした。
きちっと,Kichitto,"(JP) 正確に、整然と (EN) Properly, Neatly (CN) 整齐，规矩",引き出しの中をきちっと整理する。
ずばり,Zubari,"(JP) 核心を突くさま、単刀直入に (EN) Decisively, Frankly (CN) 一针见血，直截了当",ずばりその点を聞きたい。
