Word,Reading,Meaning (JP / EN / CN),Example Sentence
尽きる,Tsukiru,"(JP) なくなる、終わる (EN) To run out (CN) 尽，用完",資源が尽きる。
偏る（考え）,Katayoru,"(JP) バランスが悪く一方に寄る (EN) To be biased (CN) 偏颇，不平衡",栄養が偏らないようにする。
はまる,Hamaru,"(JP) ぴったり入る、夢中になる (EN) To fit in, To be addicted to (CN) 吻合，沉迷",彼はゲームにはまっている。
とどまる,Todomaru,"(JP) その場所に残る、中止する (EN) To stay, To remain (CN) 停留，止步",現状にとどまらず前進する。
とどめる,Todomeru,"(JP) 動かないようにする、残す (EN) To stop, To retain (CN) 挽留，停下",足を止めて風景を目にとどめる。
途切れる,Togireru,"(JP) 続いていたものが中断する (EN) To be interrupted (CN) 中断，间断",会話が途切れてしまった。
途絶える,Todaeru,"(JP) 続いていたものが完全に止まる (EN) To cease (CN) 断绝，停止",連絡が途絶える。
ありふれる,Arifureru,"(JP) どこにでもあって珍しくない (EN) To be common (CN) 常见，不稀奇",ありふれた話だ。
廃れる（流行）,Sutareru,"(JP) 使われなくなる、流行が止む (EN) To go out of fashion (CN) 废弃，过时",その流行はすぐに廃れた。
化ける（女装）,Bakeru,"(JP) 姿を変える (EN) To transform, To disguise (CN) 变化，化装",彼は女装して女性に化けた。
絡む,Karamu,"(JP) 巻きつく、まとわりつく (EN) To entangle (CN) 缠绕，纠缠",酔っ払いに絡まれた。
しのぐ（暑さ）,Shinogu,"(JP) 苦難を何とか切り抜ける (EN) To endure (CN) 忍耐，熬过",冷たい水を飲んで暑さをしのぐ。
つつく（肘）,Tsutsuku,"(JP) 指先などで軽く突く (EN) To poke, To nudge (CN) 戳，捅",肘で友達をつつく。
