Word,Reading,Meaning (JP / EN / CN),Example Sentence
調和,Chouwa,"(JP) 全体が釣り合って整うこと (EN) Harmony, Balance (CN) 协调，和谐",自然と調和した建物。
和む,Nagomu,"(JP) 気持ちが穏やかになる (EN) To calm down, To soften (CN) 平静，缓和",その冗談で場の空気が和んだ。
指図,Sashizu,"(JP) 指示や命令をすること (EN) Instruction, Order, Mandate (CN) 指使，指示",あれこれ指図されたくない。
実業家,Jitsugyouka,"(JP) 事業を経営する人 (EN) Business person, Industrialist (CN) 实业家，企业家",彼は成功した実業家だ。
口実,Koujitsu,"(JP) 言い訳、逃げ口上 (EN) Excuse, Pretext (CN) 借口，托辞",病気を口実にして会合を欠席した。
実入り,Miiri,"(JP) 収入、利益 (EN) Income, Earnings, Profit (CN) 收入，收益",実入りのいい仕事を探す。
連なる,Tsuranaru,"(JP) 列を作って並ぶ、続く（自動詞） (EN) To stand in a row, To range (CN) 成排，连绵",遠くに山々が連なっている。
連ねる,Tsuraneru,"(JP) 並べる、列に加える（他動詞） (EN) To link, To put in a row (CN) 排列，列席",役員に名を連ねる。
告げる（名前）,Tsugeru,"(JP) 言葉で伝える、知らせる (EN) To tell, To announce (CN) 告诉，告知",受付で名前を告げる。
告白（罪）,Kokuhaku,"(JP) 秘密や心の内を打ち明ける (EN) Confession (CN) 坦白，自白",警察に罪を告白した。
告知（ガン）,Kokuchi,"(JP) 通知すること（特に病名など） (EN) Notification, Announcement (CN) 告知，通告",医師からガンの告知を受けた。
手記,Shuki,"(JP) 自分の体験などを書き記したもの (EN) Memoir, Note (CN) 手记，笔记",闘病の手記を出版する。
伝記,Denki,"(JP) 個人の生涯の記録 (EN) Biography (CN) 传记",偉人の伝記を読む。
記す,Shirusu,"(JP) 文字や文章を書いておく (EN) To write down (CN) 记录，写",芳名帳に名前を記す。
記す,Shirusu,"(JP) 心にとどめる (EN) To remember (CN) 铭记",教訓を胸に深く記す。
