Word,Reading,Meaning (JP / EN / CN),Example Sentence
当人,Tounin,"(JP) その人自身、本人 (EN) The person in question (CN) 当事人，本人",その件は当人に聞いてください。
見当,Kentou,"(JP) 予想、推測 (EN) Guess, Estimate (CN) 估计，推测",犯人の見当がつかない。
身の上,Minoue,"(JP) その人の境遇や経歴 (EN) One's fortune, One's personal history (CN) 身世，境遇",身の上相談に乗る。
身軽な（格好）,Migaru na,"(JP) 動きやすい、荷物が少ない (EN) Agile, Light (CN) 轻便，轻松",旅行には身軽な格好で行く。
身の回り,Minomawari,"(JP) 日常生活に関すること、自分の周り (EN) Personal belongings, Daily life (CN) 身边琐事，日常生活",身の回りの世話をする。
見動き,Miugoki,"(JP) 体を動かすこと (EN) Moving, Stirring (CN) 动弹",満員電車で見動きが取れない。
身近な,Mijika na,"(JP) 自分に近いこと、接する機会が多い (EN) Familiar, Close to oneself (CN) 身边，切身",身近な問題について考える。
身元,Mimoto,"(JP) その人の素性や経歴 (EN) Identity, Background (CN) 身份，来历",身元保証人を頼む。
生身,Namami,"(JP) 生きている人間の体 (EN) Living flesh, Living body (CN) 血肉之躯",ＡＩではなく生身の人間が対応する。
単身（赴任）,Tanshin,"(JP) ひとり、家族と離れて一人で (EN) Alone, By oneself (CN) 单身，只身",大阪へ単身赴任する。
取り分,Toribun,"(JP) 全体の中からその人が取る分 (EN) Share, Portion (CN) 份额",利益から自分の取り分を主張する。
下取り,Shitadori,"(JP) 新しい物を買う時、古い物を店に引き取らせる (EN) Trade-in (CN) 以旧换新",古い車を下取りに出す。
手取り,Tedori,"(JP) 税金などを引いて実際に受け取る金額 (EN) Take-home pay, Net income (CN) 实得工资，到手收入",手取りで月30万円もらう。
日取り,Hidori,"(JP) 行事などの実施日 (EN) Date, Schedule (CN) 日期，日子",結婚式の日取りを決める。
根気,Konki,"(JP) 物事を飽きずに続ける気力 (EN) Patience, Perseverance (CN) 耐心，毅力",根気のいる作業だ。
根回し,Nemawashi,"(JP) 会議などを円滑に進めるため、事前に交渉すること (EN) Laying the groundwork (CN) 事先疏通，打通关节",事前にしっかり根回しをしておく。
出向く,Demuku,"(JP) 自分のほうからその場所へ行く (EN) To go to, To proceed to (CN) 前往，亲自去",現地へ出向いて調査する。
前置き,Maeoki,"(JP) 本題に入る前の言葉 (EN) Introduction, Preamble (CN) 开场白，前言",前置きは短くして本題に入る。
前借り,Maegari,"(JP) 給料などを予定より前に借りる (EN) Getting an advance (on pay) (CN) 预支，借支",給料を前借りする。
前貸し,Maegashi,"(JP) 給料などを予定より前に貸す (EN) Giving an advance (CN) 预借",従業員に給料を前貸しする。
